date,type,likes_count_fb,comments_count_fb,shares_count_fb,sentiment,valence,post_link
01/06/2015,link,1553,698,363,negative,-5,https://www.facebook.com/77249349077/posts/10153449687854078
02/06/2015,link,1737,130,67,negative,-2,https://www.facebook.com/77249349077/posts/10153451863734078
02/06/2015,photo,4531,607,820,neutral,0,https://www.facebook.com/77249349077/posts/10153452007364078
02/06/2015,link,1139,317,71,positive,5,https://www.facebook.com/77249349077/posts/10153452101489078
02/06/2015,video,1351,496,0,neutral,0,https://www.facebook.com/77249349077/posts/10153452722939078
03/06/2015,photo,3217,366,658,neutral,0,https://www.facebook.com/77249349077/posts/10153454293579078
03/06/2015,video,964,802,0,neutral,0,https://www.facebook.com/77249349077/posts/10153454420319078
09/06/2015,link,3101,422,366,negative,-1,https://www.facebook.com/77249349077/posts/10153465986799078
09/06/2015,link,1128,510,135,positive,1,https://www.facebook.com/77249349077/posts/10153466125869078
10/06/2015,photo,2167,580,0,neutral,0,https://www.facebook.com/77249349077/posts/10153469026904078
13/06/2015,photo,1502,583,0,neutral,0,https://www.facebook.com/77249349077/posts/10153475640679078
16/06/2015,link,1280,1244,650,neutral,0,https://www.facebook.com/77249349077/posts/10153481300584078
17/06/2015,video,1087,239,0,neutral,0,https://www.facebook.com/77249349077/posts/10153483602519078
17/06/2015,photo,691,177,118,positive,2,https://www.facebook.com/77249349077/posts/10153483640489078
18/06/2015,photo,5833,631,1997,neutral,0,https://www.facebook.com/77249349077/posts/10153485997679078
19/06/2015,link,1444,761,465,negative,-1,https://www.facebook.com/77249349077/posts/10153488026574078
21/06/2015,link,2996,593,278,negative,-1,https://www.facebook.com/77249349077/posts/10153492960614078
23/06/2015,photo,1066,409,0,negative,-1,https://www.facebook.com/77249349077/posts/10153499062439078
24/06/2015,video,687,371,0,neutral,0,https://www.facebook.com/77249349077/posts/10153502148884078
25/06/2015,link,1393,544,169,positive,1,https://www.facebook.com/77249349077/posts/10153503204794078
25/06/2015,link,15913,1209,921,positive,1,https://www.facebook.com/77249349077/posts/10153504034469078
30/06/2015,link,1462,704,346,positive,2,https://www.facebook.com/77249349077/posts/10153515284424078
01/07/2015,link,1751,760,0,negative,-2,https://www.facebook.com/77249349077/posts/10153517569919078
01/07/2015,photo,3780,465,489,positive,1,https://www.facebook.com/77249349077/posts/10153517725299078
02/07/2015,link,2518,1089,1101,negative,-3,https://www.facebook.com/77249349077/posts/10153520199179078
06/07/2015,photo,567,346,0,negative,-1,https://www.facebook.com/77249349077/posts/10153530672449078
06/07/2015,link,1436,496,560,neutral,0,https://www.facebook.com/77249349077/posts/10153531812944078
07/07/2015,link,1231,654,381,negative,-1,https://www.facebook.com/77249349077/posts/10153533826089078
07/07/2015,video,481,149,71,neutral,0,https://www.facebook.com/77249349077/posts/10153534108099078
08/07/2015,link,1546,725,329,negative,-3,https://www.facebook.com/77249349077/posts/10153537535974078
08/07/2015,video,3711,706,0,neutral,0,https://www.facebook.com/77249349077/posts/10153538554994078
10/07/2015,link,751,454,49,neutral,0,https://www.facebook.com/77249349077/posts/10153542129769078
13/07/2015,link,1488,861,276,neutral,0,https://www.facebook.com/77249349077/posts/10153547807624078
14/07/2015,link,1944,615,394,neutral,0,https://www.facebook.com/77249349077/posts/10153550064724078
14/07/2015,video,6828,847,2,neutral,0,https://www.facebook.com/77249349077/posts/10153550506844078
14/07/2015,video,13020,2229,13200,positive,2,https://www.facebook.com/77249349077/posts/10153550523599078
15/07/2015,link,7499,705,746,negative,-2,https://www.facebook.com/77249349077/posts/10153552188119078
15/07/2015,link,1109,535,158,negative,-1,https://www.facebook.com/77249349077/posts/10153552903824078
17/07/2015,link,1844,524,194,neutral,0,https://www.facebook.com/77249349077/posts/10153556762679078
17/07/2015,link,15183,1939,6735,neutral,0,https://www.facebook.com/77249349077/posts/10153557913244078
18/07/2015,link,2335,493,229,neutral,0,https://www.facebook.com/77249349077/posts/10153559442559078
19/07/2015,link,6567,801,691,positive,1,https://www.facebook.com/77249349077/posts/10153561847399078
21/07/2015,link,3096,682,552,neutral,0,https://www.facebook.com/77249349077/posts/10153569340714078
24/07/2015,link,1329,1017,219,positive,1,https://www.facebook.com/77249349077/posts/10153574803154078
27/07/2015,link,2110,724,215,neutral,0,https://www.facebook.com/77249349077/posts/10153580724059078
28/07/2015,photo,1548,644,0,neutral,0,https://www.facebook.com/77249349077/posts/10153584276794078
30/07/2015,link,334,302,0,neutral,0,https://www.facebook.com/77249349077/posts/10153587892079078
01/08/2015,link,1142,206,93,neutral,0,https://www.facebook.com/77249349077/posts/10153592386994078
02/08/2015,link,1597,909,672,negative,-2,https://www.facebook.com/77249349077/posts/10153594175164078
02/08/2015,link,4325,459,745,neutral,0,https://www.facebook.com/77249349077/posts/10153594274734078
04/08/2015,link,650,346,293,neutral,0,https://www.facebook.com/77249349077/posts/10153599234729078
06/08/2015,link,1621,589,241,positive,1,https://www.facebook.com/77249349077/posts/10153603266394078
10/08/2015,video,1873,329,0,negative,-1,https://www.facebook.com/77249349077/posts/10153615120839078
12/08/2015,link,1737,464,328,positive,1,https://www.facebook.com/77249349077/posts/10153621001609078
12/08/2015,video,688,129,0,neutral,0,https://www.facebook.com/77249349077/posts/10153621294064078
14/08/2015,link,4035,363,375,positive,1,https://www.facebook.com/77249349077/posts/10153625351229078
18/08/2015,photo,2873,658,391,neutral,0,https://www.facebook.com/77249349077/posts/10153634140719078
18/08/2015,link,334,60,66,positive,2,https://www.facebook.com/77249349077/posts/10153634521664078
18/08/2015,video,1287,498,143,positive,3,https://www.facebook.com/77249349077/posts/10153634756619078
23/08/2015,link,627,641,171,neutral,0,https://www.facebook.com/77249349077/posts/10153645553959078
24/08/2015,video,386,441,52,neutral,0,https://www.facebook.com/77249349077/posts/10153649020579078
25/08/2015,video,839,453,0,neutral,0,https://www.facebook.com/77249349077/posts/10153651899129078
31/08/2015,link,2979,902,2670,neutral,0,https://www.facebook.com/77249349077/posts/10153664161084078
01/09/2015,photo,2146,703,262,neutral,0,https://www.facebook.com/77249349077/posts/10153666821524078
02/09/2015,video,1292,292,1,neutral,0,https://www.facebook.com/77249349077/posts/10153668650074078
02/09/2015,link,3712,703,590,neutral,0,https://www.facebook.com/77249349077/posts/10153668995119078
02/09/2015,photo,15898,3342,5161,positive,1,https://www.facebook.com/77249349077/posts/10153668934294078
03/09/2015,video,6751,1361,5108,negative,-1,https://www.facebook.com/77249349077/posts/10153671222754078
03/09/2015,video,3976,823,1989,neutral,0,https://www.facebook.com/77249349077/posts/10153671270269078
03/09/2015,link,1065,322,539,neutral,0,https://www.facebook.com/77249349077/posts/10153671632744078
04/09/2015,video,5405,2784,2689,positive,3,https://www.facebook.com/77249349077/posts/10153673136489078
08/09/2015,link,1002,784,84,negative,-4,https://www.facebook.com/77249349077/posts/10153682624614078
08/09/2015,photo,373,317,0,neutral,0,https://www.facebook.com/77249349077/posts/10153683358814078
08/09/2015,link,702,846,55,positive,2,https://www.facebook.com/77249349077/posts/10153683359574078
08/09/2015,photo,287,397,0,neutral,0,https://www.facebook.com/77249349077/posts/10153683503034078
08/09/2015,video,1138,1024,1,neutral,0,https://www.facebook.com/77249349077/posts/10153683613654078
12/09/2015,video,1711,516,0,neutral,0,https://www.facebook.com/77249349077/posts/10153692765124078
13/09/2015,link,4302,1059,497,neutral,0,https://www.facebook.com/77249349077/posts/10153696872719078
15/09/2015,link,723,1296,85,neutral,0,https://www.facebook.com/77249349077/posts/10153702580164078
18/09/2015,photo,1926,859,237,neutral,0,https://www.facebook.com/77249349077/posts/10153709045294078
18/09/2015,video,3180,670,705,positive,3,https://www.facebook.com/77249349077/posts/10153709498669078
18/09/2015,video,1034,581,406,neutral,0,https://www.facebook.com/77249349077/posts/10153709339494078
20/09/2015,link,1883,675,217,negative,-2,https://www.facebook.com/77249349077/posts/10153713579954078
21/09/2015,video,1532,501,2,neutral,0,https://www.facebook.com/77249349077/posts/10153716765439078
23/09/2015,photo,2652,781,645,positive,1,https://www.facebook.com/77249349077/posts/10153720984439078
23/09/2015,video,886,575,183,neutral,0,https://www.facebook.com/77249349077/posts/10153721387819078
25/09/2015,photo,489,896,133,positive,1,https://www.facebook.com/77249349077/posts/10153724993714078
30/09/2015,photo,125,363,0,neutral,0,https://www.facebook.com/77249349077/posts/10153733472799078
01/10/2015,photo,1240,291,1413,positive,1,https://www.facebook.com/77249349077/posts/10153735585404078
02/10/2015,link,2301,782,3,neutral,0,https://www.facebook.com/77249349077/posts/10153737230544078
06/10/2015,photo,728,447,321,neutral,0,https://www.facebook.com/77249349077/posts/10153744103984078
08/10/2015,photo,958,644,901,neutral,0,https://www.facebook.com/77249349077/posts/10153747012609078
09/10/2015,video,214,311,26,neutral,0,https://www.facebook.com/77249349077/posts/10153749332514078
14/10/2015,photo,274,119,0,neutral,0,https://www.facebook.com/77249349077/posts/10153759712854078
14/10/2015,photo,168,184,0,neutral,0,https://www.facebook.com/77249349077/posts/10153759826589078
15/10/2015,photo,1041,122,171,positive,2,https://www.facebook.com/77249349077/posts/10153760701879078
15/10/2015,photo,1752,428,391,positive,1,https://www.facebook.com/77249349077/posts/10153760797344078
15/10/2015,video,1753,380,1001,neutral,0,https://www.facebook.com/77249349077/posts/10153760790409078
15/10/2015,photo,1872,457,473,positive,1,https://www.facebook.com/77249349077/posts/10153760798949078
15/10/2015,video,1244,302,1228,neutral,0,https://www.facebook.com/77249349077/posts/10153760729214078
15/10/2015,photo,2412,628,527,neutral,0,https://www.facebook.com/77249349077/posts/10153761234904078
